Key,Item_Type,Publication_Year,Author,Title,Publication_Title,ISBN,ISSN,DOI,Url,Abstract_Note,Date,Date_Added,Date_Modified,Access_Date,Pages,Num_Pages,Issue,Volume,Number_Of_Volumes,Journal_Abbreviation,Short_Title,Series,Series_Number,Series_Text,Series_Title,Publisher,Place,Language,Rights,Type,Archive,Archive_Location,Library_Catalog,Call_Number,Extra,Notes,File_Attachments,Link_Attachments,Manual_Tags,Automatic_Tags,Editor,Series_Editor,Translator,Contributor,Attorney_Agent,Book_Author,Cast_Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed_Author,Scriptwriter,Words_By,Guest,Number,Edition,Running_Time,Scale,Medium,Artwork_Size,Filing_Date,Application_Number,Assignee,Issuing_Authority,Country,Meeting_Name,Conference_Name,Court,References,Reporter,Legal_Status,Priority_Numbers,Programming_Language,Version,System,Code,Code_Number,Section,Session,Committee,History,Legislative_Body
U8LQ596W,newspaperArticle,2018,"Shear, Michael D.; Baumgaertner, Emily",Trump Administration Aims to Sharply Restrict New Green Cards for Those on Public Aid,The New York Times,NA,0362-4331,NA,https://www.nytimes.com/2018/09/22/us/politics/immigrants-green-card-public-aid.html,A rule proposed by the Trump administration could force immigrants seeking permanent resident status to prove they will never become reliant on government assistance.,2018-09-23,2018-09-23T13:33:12Z,2018-09-23T13:33:12Z,2018-09-23T13:33:12Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en-US,NA,NA,NA,NA,NYTimes.com,NA,NA,NA,/Users/palmer/Zotero/storage/L72PE2UW/immigrants-green-card-public-aid.html,NA,NA,"Children and Childhood; Executive Orders and Memorandums; Health Insurance and Managed Care; Homeland Security Department; Illegal Immigration; Immigration and Emigration; Medicaid; Mulvaney, Mick; Refugees and Displaced Persons; State Children's Health Insurance Program (S-CHIP); Tax Credits, Deductions and Exemptions; Trump, Donald J; United States; United States Politics and Government; Welfare (US)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S.,NA,NA,NA,NA
P2FJ4XEK,newspaperArticle,2018,"Washington, John","“Kick Ass, Ask Questions Later”: A Border Patrol Whistleblower Speaks Out About Culture of Abuse Against Migrants",The Intercept,NA,NA,NA,https://theintercept.com/2018/09/20/border-patrol-agent-immigrant-abuse/,NA,2018-09-20,2018-09-23T13:36:00Z,2018-09-23T22:02:42Z,2018-09-23T13:36:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,/Users/palmer/Zotero/storage/ZDQ3YIYD/border-patrol-agent-immigrant-abuse.html,NA,border patrol; abuse; us,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZTA7N4NF,magazineArticle,2018,"Blitzer, Jonathan",Why Did Mike Pompeo Slash the Number of Refugees Allowed in the United States?,The New Yorker,NA,0028-792X,NA,https://www.newyorker.com/news/daily-comment/why-did-mike-pompeo-slash-the-number-of-the-refugees-allowed-to-the-united-states,"When the Secretary of State announced the reduced cap, many officials heard echoes of Stephen Miller.",2018-09-21,2018-09-23T13:40:52Z,2018-09-23T21:50:03Z,2018-09-23T13:40:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,www.newyorker.com,NA,NA,NA,/Users/palmer/Zotero/storage/CUZQKZLD/why-did-mike-pompeo-slash-the-number-of-the-refugees-allowed-to-the-united-states.html,NA,refugees; us,donald trump; human rights; immigration; mike pompeo; stephen miller,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DFXYAH9J,magazineArticle,2018,"Blitzer, Jonathan",The Case for Reuniting “Ineligible” Families Separated at the Border,The New Yorker,NA,0028-792X,NA,https://www.newyorker.com/news/news-desk/the-case-for-reuniting-ineligible-families-separated-at-the-border,"By law, the U.S. government is responsible for insuring that the children in its custody are reunited with parents who will not cause them harm. But many families are still being kept apart.",2018-09-13,2018-09-23T13:41:33Z,2018-09-23T21:49:58Z,2018-09-23T13:41:33Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,www.newyorker.com,NA,NA,NA,/Users/palmer/Zotero/storage/3JCIH6IG/the-case-for-reuniting-ineligible-families-separated-at-the-border.html,NA,child-separation; us,donald trump; immigration; american civil liberties union aclu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH3DCVBJ,magazineArticle,2018,"Blitzer, Jonathan",Will Anyone in the Trump Administration Ever Be Held Accountable for the Zero-Tolerance Immigration Policy?,The New Yorker,NA,0028-792X,NA,https://www.newyorker.com/news/daily-comment/will-anyone-in-the-trump-administration-ever-be-held-accountable-for-the-zero-tolerance-policy,"To date, no one has been held responsible for the family-separation policy, even after evidence has steadily mounted as to its immense human costs and administrative failures.",2018-08-22,2018-09-23T13:42:17Z,2018-09-23T21:49:50Z,2018-09-23T13:42:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,www.newyorker.com,NA,NA,NA,/Users/palmer/Zotero/storage/YTAKTVLR/will-anyone-in-the-trump-administration-ever-be-held-accountable-for-the-zero-tolerance-policy.html,NA,child-separation; us,donald trump; immigration; family separation; zero tolerance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXCNH34Y,magazineArticle,2018,"Blitzer, Jonathan","Reunited, an Immigrant Family Tries to Put Their Life Back Together",The New Yorker,NA,0028-792X,NA,https://www.newyorker.com/news/dispatch/reunited-an-immigrant-family-tries-to-put-their-life-back-together,"Now that their time apart was over, Wendy Santos, her daughters, and her longtime boyfriend were reluctant to revisit the pain of what had happened.",2018-08-01,2018-09-23T13:42:44Z,2018-09-23T21:49:22Z,2018-09-23T13:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,www.newyorker.com,NA,NA,NA,/Users/palmer/Zotero/storage/MFRKUW7L/reunited-an-immigrant-family-tries-to-put-their-life-back-together.html,NA,child-separation; us; ICE,immigration; zero tolerance; honduras; ice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5DZGV9A6,newspaperArticle,2018,"Mas, Cristina","""Espanya paga al Marroc perquè ens maltracti""",Ara,NA,NA,NA,https://www.ara.cat/internacional/Espanya-paga-Marroc-que-maltracti_0_2092590912.html,Migrants subsaharians són traslladats al sud per la força o acaben ferits en les batudes policials,2018-09-22,2018-09-23T13:57:17Z,2018-09-25T21:28:51Z,2018-09-23T13:57:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca_ES,NA,NA,NA,NA,NA,NA,NA,NA,/Users/palmer/Zotero/storage/ZFVFSSGE/Espanya-paga-Marroc-que-maltracti_0_2092590912.html,NA,europe; externalization; euro-externalization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V6CX94TP,newspaperArticle,2018,"Mas, Cristina","Reprimits pel Marroc, els rifenys fugen en pasteres",Ara,NA,NA,NA,https://www.ara.cat/internacional/Reprimits-Marroc-rifenys-fugen-pasteres_0_2092590918.html,"La persecució, la pobresa i el servei militar obligatori disparen l'emigració dels joves",2018-09-22,2018-09-23T13:59:12Z,2018-09-23T14:01:01Z,2018-09-23T13:59:12Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca_ES,NA,NA,NA,NA,NA,NA,NA,NA,/Users/palmer/Zotero/storage/S9LT7ZFG/Reprimits-Marroc-rifenys-fugen-pasteres_0_2092590918.html,NA,europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2PR5HURV,newspaperArticle,2018,"Mas, Cristina; Bertral, Xavier",Proactiva Open Arms: crònica dels fets,Ara,NA,NA,NA,https://interactius.ara.cat/openarms/ca,L'ARA reconstrueix els esdeveniments que van portar la justícia italiana a confiscar el vaixell de rescat de migrants i a la investigació penal contra els seus responsables,2018-03-01,2018-09-23T14:00:15Z,2018-10-01T10:21:23Z,2018-09-23T14:00:15Z,NA,NA,NA,NA,NA,NA,Proactiva Open Arms,NA,NA,NA,NA,NA,NA,ca,NA,NA,NA,NA,NA,NA,NA,NA,/Users/palmer/Zotero/storage/899PSCTL/ca.html,NA,europe; externalization; migrants-at-sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNPV2I38,newspaperArticle,2018,"Mas, Cristina; Bertral, Xavier",The Case Against the Open Arms: Key Events,Ara,NA,NA,NA,https://interactius.ara.cat/openarms/en,ARA newspaper recreates the series of events that brought the Italian Justice to confiscate the migrant rescue vessel and to launch a criminal investigation against those responsible.,2018-03-01,2018-09-23T14:02:28Z,2018-10-01T10:21:12Z,2018-09-23T14:02:28Z,NA,NA,NA,NA,NA,NA,The Case Against the Open Arms,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,/Users/palmer/Zotero/storage/G9BQQ428/en.html,NA,europe; externalization; migrants-at-sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
